address,type,x-text
0x4af9e4,string,"AolAppWinClass"
0x4b012c,string,"explode"
0x4b0190,string,"ghost"
0x4b0198,string,"ghost"
0x4b05dc,string,"english"
0x4b05e4,string,"spanish"
0x4b05ec,string,"french"
0x4b05f4,string,"german"
0x4b05fc,string,"italian"
0x4b0604,string,"danish"
0x4b060c,string,"swedish"
0x4b0614,string,"norwegi"
0x4b061c,string,"dutch"
0x4b0798,string,"english"
0x4b07a0,string,"spanish"
0x4b07a8,string,"french"
0x4b07b0,string,"german"
0x4b07b8,string,"italian"
0x4b07c0,string,"danish"
0x4b07c8,string,"swedish"
0x4b07d0,string,"norwegi"
0x4b07d8,string,"dutch"
0x4b07e0,string,"finnish"
0x4b0968,string,"carsprk"
0x4b0a24,string,"carshad"
0x4b0ac4,string,"tiresmk"
0x4b0acc,string,"dust"
0x4b0ad4,string,"carsmke"
0x4b0adc,string,"carland"
0x4b0b00,string,"trbskid"
0x4b1350,string,"brick1"
0x4b1358,string,"brick2"
0x4b1360,string,"brick3"
0x4b1368,string,"brick4"
0x4b137c,string,"cannsmk"
0x4b13a8,string,"cannon"
0x4b142c,string,"dynsprk"
0x4b14d4,string,"cannsmk"
0x4b14fc,string,"tether"
0x4b1560,string,"lightng"
0x4b1590,string,"lghthit"
0x4b1598,string,"ltflash"
0x4b16d0,string,"oilbub"
0x4b16d8,string,"oilslck"
0x4b172c,string,"magnet"
0x4b1734,string,"magring"
0x4b173c,string,"insd"
0x4b1744,string,"warpprt"
0x4b174c,string,"dmissil"
0x4b1754,string,"dmissil"
0x4b175c,string,"Explsn"
0x4b1764,string,"spikexp"
0x4b176c,string,"barrel"
0x4b1774,string,"curse"
0x4b177c,string,"cgreen"
0x4b1784,string,"cgreen2"
0x4b178c,string,"shield0"
0x4b1794,string,"shield1"
0x4b179c,string,"shield2"
0x4b17a4,string,"shield3"
0x4b17ac,string,"shldin0"
0x4b17b4,string,"shldin1"
0x4b17bc,string,"shldin2"
0x4b17c4,string,"shldin3"
0x4b17cc,string,"gen"
0x4b17d4,string,"enh"
0x4b17dc,string,"genblen"
0x4b17e4,string,"enhblen"
0x4b17ec,string,"pbrickP"
0x4b17f4,string,"ptrailP"
0x4b17fc,string,"pbrickM"
0x4b1804,string,"ptrailM"
0x4b180c,string,"pbrickS"
0x4b1814,string,"ptrailS"
0x4b181c,string,"pbrickT"
0x4b1824,string,"ptrailT"
0x4b182c,string,"exflash"
0x4b1834,string,"exscar"
0x4b187c,string,"turbo3"
0x4b19dc,string,"trbsmke"
0x4b19e8,string,"TurboL0"
